Nama Produk,Kategori,Merk,Stok,Satuan,Harga Beli (HPP),Harga Jual,SKU
ABS,teknis,A.1.1,750,Kg,79200,88000,
ABS,teknis,A.1.1,750,Gram,73,250,
Agar-agar Teknis 1 Kg,teknis,A.1.2,3,Kg,259750,335000,
Agar-Agar Eceran,teknis,A.1.2,541,Gram,260,800,
Fixativ (Penguat Parfum),,,100,ml,100,500,
Alumunium Chloride / AlCl3 Teknis Eceran,teknis,A.1.3,710,Gram,43,250,
Amylum Teknis,PADATAN TEKNIS,A.2.1,14,Kg,55322,98000,
Amylum Manihot / Pati Singkong Teknis eceran,PADATAN TEKNIS,A.2.1,504,Gram,65,150,
Ammonium Chloride / NH4Cl Teknis 1 Kg,teknis,A.2.2,2,Kg,24617,37000,
Ammonium Chloride / NH4Cl Teknis Eceran,teknis,A.2.2,545,Gram,25,200,
Ammonium Phosphate / (NH4)2PO4 Teknis @1 Kg,teknis,A.2.3,2,Kg,84600,94000,
Ammonium Phosphate / (NH4)2PO4 Teknis Eceran,teknis,A.2.3,980,Gram,85,200,
Ammonium Sulfate / ZA / (NH4)2SO4 Teknis 1 Kg,teknis,A.3.1,18,Kg,11000,30000,
Ammonium Sulfate / ZA / (NH4)2SO4 Teknis Eceran,teknis,A.3.1,620,Gram,19,250,
Ascorbic Acid / VIT. C Powder @1 Kg,teknis,A.3.2,1,Kg,99000,650000,
Ascorbic Acid / VIT. C Powder Eceran,teknis,A.3.2,877,Gram,99,1000,
AVICELL PH101 @1 Kg,teknis,A.3.3,1,Kg,404100,449000,
AVICELL PH101 Eceran,teknis,A.3.3,500,Gram,405,1300,
AVICELL PH102 @1 Kg,teknis,A.3.2,1,Kg,200000,415000,
AVICELL PH102 Eceran,teknis,A.4.1,464,Gram,250,700,
Barium Chloride / BaCl2 Teknis @1 Kg,teknis,A.4.2,1,Kg,133200,147999,
Barium Chloride / BaCl2 Teknis Eceran,teknis,A.4.2,345,Gram,134,250,
Beeswax / Cerra Alba Teknis @1 Kg,teknis,A.4.3,1,Kg,180000,250000,
Beeswax / Cerra Alba Teknis Eceran,teknis,A.4.3,745,Gram,180,600,
Benzoic Acid / Asam Benzoat / C7H6O2 Teknis @1 Kg,teknis,A.5.1,2,Kg,149850,166500,
Benzoic Acid / Asam Benzoat / C7H6O2 Tk,teknis,A.5.1,268,Gram,150,400,
Blawu @1 Kg,teknis,A.5.2,1,Kg,171900,191000,
Blawu Eceran,teknis,A.5.2,500,Gram,172,400,
Boric Acid / H3BO3 Teknis 1 Kg,teknis,A.5.3,3,Kg,131400,195000,
Boric Acid / H3BO3 Teknis Eceran,teknis,A.5.3,68,Gram,132,300,
Calcium Carbonate / CaCO3 Teknis @1 Kg,teknis,A.6.1,1,Kg,20000,35000,
Calcium Carbonate / CaCO3 Teknis Eceran,teknis,A.6.1,400,Gram,7,200,
Calcium Chloride / CaCl2 Teknis @1 Kg,teknis,A.6.2,1,Kg,12000,25000,
Calcium Chloride / CaCl2 Teknis Eceran,teknis,A.6.2,290,Gram,12,200,
Calcium Hidroxide / Ca(OH)2 Teknis @1 Kg,teknis,A.6.3,2,Kg,17950,35000,
Calcium Hidroxide / Ca(OH)2 Tk,teknis,A.6.3,22,Gram,68,200,
